id,SR_Pcode,State_Region,Tsp_Pcode,Township,Type,Facility,Date,Admitted_Total
Q008014005,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကွင်းချောင်း,04/14/20,0
Q008014004,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကိုင်းယားရှည်,04/05/20,1
Q008014004,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကိုင်းယားရှည်,04/18/20,0
Q008014004,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကိုင်းယားရှည်,04/07/20,1
Q008014004,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကိုင်းယားရှည်,04/14/20,0
Q008014004,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကိုင်းယားရှည်,04/13/20,0
Q008014004,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကိုင်းယားရှည်,04/06/20,1
Q008014004,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကိုင်းယားရှည်,04/10/20,0
Q008014004,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကိုင်းယားရှည်,04/17/20,0
Q008014004,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကိုင်းယားရှည်,04/15/20,0
Q008014004,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကိုင်းယားရှည်,04/16/20,0
Q008014004,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ကိုင်းယားရှည်,04/12/20,0
Q008014006,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ဘိုရုံစု,04/18/20,0
Q008014006,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ဘိုရုံစု,04/07/20,6
Q008014006,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ဘိုရုံစု,04/15/20,0
Q008014006,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ဘိုရုံစု,04/10/20,1
Q008014006,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ဘိုရုံစု,04/13/20,0
Q008014006,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ဘိုရုံစု,04/05/20,6
Q008014006,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ဘိုရုံစု,04/16/20,0
Q008014006,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ဘိုရုံစု,04/17/20,0
Q008014006,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ဘိုရုံစု,04/06/20,6
Q008014006,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ဘိုရုံစု,04/14/20,0
Q008014006,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန် ဘိုရုံစု,04/12/20,0
Q008014003,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန်ကံဦး,04/05/20,6
Q008014003,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန်ကံဦး,04/15/20,0
Q008014003,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန်ကံဦး,04/16/20,0
Q008014003,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန်ကံဦး,04/13/20,0
Q008014003,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန်ကံဦး,04/07/20,6
Q008014003,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန်ကံဦး,04/14/20,0
Q008014003,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန်ကံဦး,04/18/20,0
Q008014003,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန်ကံဦး,04/06/20,6
Q008014003,MMR008,Bago (West),MMR008014,Gyobingauk,ကွာရန်တင်းစခန်း,မူလွန်ကံဦး,04/10/20,2
