,SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,POP,Under_5_POP,Above_60_POP,MEAN_HH_Size,BED,PHYSNB,NURSNB,HSNB
138,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010029,Mahlaing,မလှိုင်,175373.0,11380,18921,4,98.0,12.0,21.0,6.0
139,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010030,Thazi,သာစည်,198449.0,18512,19612,4,125.0,12.0,20.0,5.0
140,MMR010,Mandalay,မန္တလေးတိုင်းဒေသကြီး,MMR010031,Wundwin,ဝမ်းတွင်း,235575.0,17201,26379,4,98.0,12.0,23.0,6.0
141,MMR011,Mon,မွန်ပြည်နယ်,MMR011001,Mawlamyine,မော်လမြိုင်,258003.0,22510,30573,5,748.0,38.0,27.0,6.0
142,MMR011,Mon,မွန်ပြည်နယ်,MMR011002,Kyaikmaraw,ကျိုက္မရော,222091.0,21997,19040,5,null,5.0,13.0,7.0
143,MMR011,Mon,မွန်ပြည်နယ်,MMR011003,Chaungzon,ချောင်းဆုံ,null,10653,15205,4,98.0,9.0,39.0,8.0
144,MMR011,Mon,မွန်ပြည်နယ်,MMR011004,Thanbyuzayat,သံဖြူဇရပ်,160538.0,15215,17401,5,130.0,16.0,41.0,6.0
145,MMR011,Mon,မွန်ပြည်နယ်,MMR011005,Mudon,မုဒုံ,185012.0,16512,22665,5,41.0,21.0,29.0,9.0
146,MMR011,Mon,မွန်ပြည်နယ်,MMR011006,Ye,ရေး,265142.0,25564,24579,5,164.0,1.0,2.0,7.0
147,MMR011,Mon,မွန်ပြည်နယ်,MMR011007,Thaton,သထုံ,233867.0,23753,21816,5,116.0,18.0,89.0,5.0
148,MMR011,Mon,မွန်ပြည်နယ်,MMR011008,Paung,ပေါင်,null,21592,21775,5,130.0,10.0,34.0,11.0
149,MMR011,Mon,မွန်ပြည်နယ်,MMR011009,Kyaikto,ကျိုက်ထို,156091.0,18149,14079,4,82.0,8.0,20.0,20.0
150,MMR011,Mon,မွန်ပြည်နယ်,MMR011010,Bilin,ဘီးလင်း,187465.0,18210,16348,4,89.0,10.0,29.0,10.0
151,MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012001,Sittwe,စစ်တွေ,229376.0,10720,12309,5,516.0,70.0,208.0,9.0
152,MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012002,Ponnagyun,ပုဏ္ဏားကျွန်း,137845.0,11296,11425,5,73.0,6.0,42.0,5.0
153,MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012003,Mrauk-U,မြောက်ဦး,232434.0,16028,16418,5,148.0,7.0,40.0,8.0
154,MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012004,Kyauktaw,ကျောက်တော်,217867.0,15320,16719,5,82.0,5.0,14.0,6.0
155,MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012005,Minbya,မင်းပြား,216234.0,15087,13910,5,82.0,7.0,32.0,7.0
156,MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012006,Myebon,မြေပုံ,143886.0,13649,11279,4,114.0,5.0,19.0,8.0
157,MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012007,Pauktaw,ပေါက်တော,187000.0,12375,10801,5,41.0,4.0,12.0,6.0
158,MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012008,Rathedaung,ရသေ့တောင်,136716.0,8926,11056,5,41.0,4.0,15.0,6.0
159,MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012009,Maungdaw,မောင်တော,528812.0,4026,2505,5,114.0,11.0,31.0,5.0
160,MMR012,Rakhine,ရခိုင်ပြည်နယ်,MMR012010,Buthidaung,ဘူးသီးတောင်,308144.0,5847,3536,5,82.0,7.0,26.0,7.0
